title,company,location,link
[외국계 스타트업 미소] Business Analyst,유한회사 미소,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=51df90967b46e8f0
"데이터베이스개발자, 웹개발 신입/경력 정규직",여의도사람들,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e91b5984e7f5d3fd
S/W 엔지니어 신입/경력 정규직,로보아르테,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=12aa76dda262bb53
"[자동차 전장부품 우량대기업] Embedded 보안, 방화벽 경력인재",에스에프인촌,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1b8e9d7d92ab316c
2021년 하반기 라이프시맨틱스 연구개발팀 인재,라이프시맨틱스,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0d17d6a483f7b0fe
AI 물류로봇 전문가 양성 아카데미 교육생,한국로봇융합연구원,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d8ef67872063700e
시스템 엔지니어 영입,카카오페이증권,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8070498013c9b353
[(주)이포즌]DT팀 신입 AI/딥러닝 R&D 연구원 공개,이포즌,서울 성동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5a131b4df4aedbe5
전문연구요원 (병역특례) 수시 (AI / HW 분야),딥엑스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=78e99625e5de3c95
"웹개발, Python 외 신입/경력 계약직",쿠바로엠앤씨,서울 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=84fd9f9deb6105b0
"Student Training in Engineering Program, 2021",구글코리아,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=995f1b9e0e5f1b97
"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",가치랩스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5ea9ea023c6ccc03
Jr. Back-end Engineer (Python),Soomgo,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=733b814969bff5a7
[커머스&서비스 플랫폼] 백엔드 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c5685a32445180f3
[아이콘트롤스] 2021년 하반기 경력사원 모집,현대산업개발,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=79b0a7b5d7be505d
[3KOneAI] 2021년 개발 직군 신입/경력 공개,쓰리케이원에이아이,서울 강동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8cf369139ae8dda3
로보틱스 소프트웨어 엔지니어 경력 정규직,로보아르테,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=de766edcc2cea201
블록체인 기술 소프트웨어 개발자,LG전자,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=02de44d20c11b092
Security/ASDL 경력인재 - 자동차 전장부품 우량대기업,에스에프인촌,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=98fb277b13e301bc
[글로벌컨설팅사] Data Platform,인코리아 프로페셔널,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9d385d70e2c8c644
"정규직 및 계약직 컴퓨터 코딩 강사 (주 4일 또는 5일 선택, 경력무관)",잼코딩목동캠퍼스,서울 양천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=05ac5c78cc0b1bb7
딥러닝 AI 개발 연구원,베이리스,성남 수정구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=87309d3ff40ead61
"인공지능(AI),자바스크립트,백엔드,프론트엔드,Python 인턴 신입/경",코그콤 관심기업,서울 양재동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b794e13ddff54ebb
"각 부문별 (ATL, BTL, 디지털, AP, CW, 변호사, 전산) 경력사원",지투알,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0ead7ce8d7a3f7f3
[TmaxAI/R&D] NLP(자연어음성) 부문 개발 신입 및 경력,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07af30cc40664010
대기업 정보보안 기획 및 구축 업무 담당,국내 대기업 / 그룹사 IT 서비스 제공기업 / 600명 규모,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7ba5687a6eb30edc
로데슈바르즈코리아 연구소 개발자,로데 슈바르즈 코리아,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c0574107a4de85c1
2021년 상반기 R&D 개발자 (병역특례 가능/경력 무관),네오스텍,인천 연수구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=754be9e3d78fa802
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=71c47ac87bb4087e
[AI R&D] Language AI(NLP) Research 분야 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b40c2fca5a96e5b8
[데이터사이언스] 계약직,하나카드,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=be70347a4738c958
2021년 하반기 라이프시맨틱스 개발팀 인재,라이프시맨틱스,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=462b856d2dba8306
11번가 System Engineer 분야,십일번가,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=491a9ad77c7883b4
데이터표준품질부문 경력지 (정규직),한국정보기술단,과천 과천시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=47ff549b25cc6394
[농심ENG] 신입/경력사원 정기채용,농심그룹,서울 신대방동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1d0e51e2e431995b
운영 업무 자동화 개발자 (3년 이상),딜리버리히어로코리아,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7fe362af3a077099
풀스텍 개발자/ 임베디드 개발자 정규직,위고컴퍼니,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=be819fbfe672e77a
[더나은인재들]인공지능(AI) 챗봇 개발자,더나은인재들,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e529f07f1a62663a
[카카오커머스] 기술직군,카카오커머스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2b9e604e63e7e46d
"Engr, Apps Dev 3",KLA-Tencor,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bc166941018ab5ab
"데이터마이닝, 빅데이터 큐레이터 외 신입/경력 정규직",에임즈인터내셔널코리아,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1d89fe4b37ab05ed
[진행중] 우리은행 빅데이터사업부 전문직(데이터사이언티스트-분석) 채용공고,우리은행,서울 회현동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bb3dd73bc58c31af
Research Engineer Intern (Machine Learning),"Seoul Robotics Co., Ltd",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=49fd1a7248d3ff47
[TmaxAI/R&D] AI 로보어드바이저 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=27c00855f79066ea
인재 Pool 등록,S&I Corp.,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e29bd57c416ee579
"소프트웨어, Python 경력 정규직",이노반트테크놀로지스,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=864be0963e8989bd
네트워크 담당자 영입,카카오페이증권,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=63aa7316b1a84843
[현대무벡스] 클라우드 데이터 분석가,현대무벡스,서울 종로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2d8c6e73a7cdd96d
[전문연구요원] R&D 부문 개발자 병역특례,스칼라웍스,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2ba9d984a21e03b1
"Sr. Staff, Data Analysis (Product Experimentation)",Coupang,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d98cbff498ab8296
"인공지능(AI), 머신러닝(ML) 외 경력 정규직",시스메틱,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f0fa048255eee14e
"새싹 (SeSAC, Seoul Software Academy) 소프트웨어 개발자 데뷔 1기 교육생",재단법인 서울산업진흥원,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c3f7a3b0bf91b087
[KSTEC] 통계/Analytics 신입 및 경력사원,지식시스템,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=953e575eb40b5eec
QUANTUM.AI 개발팀 정규직 (백엔드),퀸텀에이아이,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9697ddf8f38060fa
머신러닝/딥러닝 모델 기반 음성인식 서비스 백엔드 개발자,프렌즈몬,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=919f3e5da2efbc55
Software Engineer,Google,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e7c8c2b11f24fb43
FPGA 플랫폼 엔지니어 (딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e5448ffc7d6ecf02
11번가 마이데이터 Fintech 개발 직군,십일번가,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1af973e75a47ac43
AI Research Engineer Intern,Intel,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=597b42f515727ced
[아이브릭스] 기업부설연구소 전문연구요원,아이브릭스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9adbc290202846e1
Data Scientist Data Architect Data Engineering DBA,Data Scientist Data Architect Data Engineering DBA,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9f57ddf8d889b099
"Student Training in Engineering Program, 2021, People with D...",Google,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=76ef0d2df960b0f6
[외국계 스타트업 미소] Business Analyst Intern (정규직 전환형),유한회사 미소,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4c25d6649f8434a8
[AI/Lab] AI 백엔드 엔지니어 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=dbe3257e487e5814
[Tune CIC] Music Service 기획 담당자 (경력),네이버,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6ba2ffa605b9c882
[신입/경력] 의료영상/음성인식/생체신호 연구원,뷰노코리아,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c35e9b72a11aa338
Python Programmer,Mofac,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=df21e3bb5d773616
[대형보험사] (신사업부문) Test Engineer,커리어라임즈,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=976d04976e671e03
기계학습 전문가 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=665d34a7ff110a24
(주)엘솔루 R&D본부 ASR팀 개발직,㈜엘솔루,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=51d1df9a3cfbe418
[대기업] 데이터분석가 경력 (대리~과장급 2명),에이치알니즈,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b2eb1fe78ff9ee5f
NLP Researcher,AITRICS,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3cf01580ba5eb23a
데이터 분야 경력,LG CNS,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d17da0baecf05910
로봇사업담당 Slam 경력직,LG전자,서울 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=343564e05ed0553e
B2C 영업기획 담당자 (신입 가능),딜리버리히어로코리아,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d117556092766656
이공지능(AI) / 딥러닝 / Computer Vision 경력자 정규직,더블미코리아,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bc5131eb1f2981cb
빅데이터팀(데이터 엔지니어) 경력직 (서울 본사) - 10월지원,주)코웨이,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=251ba603f203425f
IT 개발 총 책임자,핀후드,서울 성동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5fc53d8ce25c05f7
[대형증권사] 파생퀀트,인코리아 프로페셔널,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=df560676217ba10f
코아시아넥셀 시스템반도체 디자인/검증 엔지니어,코아시아넥셀,서울 송파구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=754737c9e1297d2a
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=aac8e9355cb855ac
금융 AI 기술 연구 개발자 모집,엔씨소프트,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=afd757e2243175cb
AI 연구 및 개발 직군 모집,넷마블,서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=56add096e14a7879
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=55a19c92c845685e
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bfe0f5ac4f32ec89
[유통 대기업] Business Analyst(비지니스분석가) 과차장급,에이치알니즈,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0e25160b5a1d095f
[강남/스타트업] 에이스랩 자율주행 엔지니어,에이스랩,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b6d169aa029a45a6
10월 11번가 Backend 개발 경력공채,십일번가,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=89d35930b8f6dec1
PharmCADD 2021년 상반기 R&D센터 연구원 공개,팜캐드,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0ff2c43b1e2621a5
"머신러닝, 데이터분석 외 경력 정규직",에임즈인터내셔널코리아,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=95946773d4816f0d
Operations Associate - Remote - Crypto/Fintech,Kraken Digital Asset Exchange,,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=22fd5b99c266e7b9
데이터 사이언티스트 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0064deb5fa9cbce0
"시스템 개발, 웹개발 (java, python, c++)",샌즈랩,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ea462b8b3cb0d224
코딩에 빠진 수퍼 개발자 (펌웨어 개발),에바,성남 수정구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f54bac6c78fd3240
[더블유게임즈 자회사] 기획/디자인/개발/데이터분석,더블다운인터액티브,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b6eea437d4af95fd
빅데이터 플랫폼/분석 솔루션 개발자/엔지니어/운영자,비코어,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ae64d6a67aab13ca
파이썬 개발자 초중급 이상,데이터앤솔루션,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d158e683dc0b7500
[외국계 스타트업 미소] Data Analyst,유한회사 미소,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ec5c7ccd76639120
침해사고 대응,NHN,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=06d133676285b02e
카카오 데이터의 가치를 발굴할 데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2b2dcd3ffe3d53df
데이터 전문가(모델러/분석가/엔지니어) 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ac9068957c550cb3
연구소 개발부문 연구원 직원 (MCU 계측제어설계/머신비전/이미지프로세싱),모든,경기도 광명,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=da0119cdb7642f40
데이터 사이언티스트 및 엔지니어,NHN,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6f4889537af98046
디지털/아날로그 신호처리 시스템 엔지니어 및 하드웨어 개발,에델테크,경기도 하남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=6f1ae19dbf8171de
인사분야 신입사원 모집,GS칼텍스,서울 역삼동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d39d5624bfcc6b01
[글로벌컨설팅사] Data Scientist,인코리아 프로페셔널,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bc808a2840a24425
대기업 계열 자동차 전장회사 AI/DX (CTO) 경력사원,풀림,서울 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c8118047a6dc2356
자동차 전장 ADAS 카메라 알고리즘 SW 개발 전문가,LG전자,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=04cc1bb8aeb0b28d
프론트엔드 정규직,바이오에이아이,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a4015a0d112e9569
2021년 KTCA 한국기술사업화진흥협회 전문가 양성과정 과정별 무료 교육생,한국기술사업화진흥협회,대구 달서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7e1a22f30c051e91
[무료교육/취업지원] 2021년 프로젝트 기반 인공지능 융합인재 양성 교육생,우송대학교,대전 동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ce942c011266c929
"Python, Python 외 경력 정규직, 계약직, 프리랜서",누리꿈소프트,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e3911ef1f24cd3a6
[코그넥스] 딥러닝 연구원 (신입/경력/전문연구요원),코그넥스코리아,서울 서초구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5331de34a85a125a
[메디픽셀] Research Engineer on Medical Imaging 정규직,메디픽셀,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c91975c7e37161c3
데이터 사이언티스트,KB데이타시스템,서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=db51c73ebf585071
"정보보호 엔지니어(보안개발, 서버보안) 모집",카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7e4150117819bbe4
Diploma Student / Intern - Software Engineering Intern - Kor...,SAP,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8efb667a9178951f
JR0186078 AI Research Engineer Intern,인텔코리아,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=016de9bb83a8032d
8퍼센트 개발자 (신입/경력),8퍼센트,서울 종로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8af26b37623864c4
QA Engineer,"Seoul Robotics USA, Inc.",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8dcd45f0d31410c7
"웹프로그래머/Python/SQL DB/WebRTC/CSS,PHP etc 신입/경력 정규직",리쉐니에,수원 영통구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a98eb9cf76d8f726
2021년 하반기 정보보안 엔지니어 - 취약점 파트,인섹시큐리티,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0678ac52e4aa4f11
대기업 계열 자동차 전장회사 AI/DX 전문가 (연구위원),풀림,서울 강서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=63fe23c48e8befdf
딥러닝 알고리즘 및 응용 Engineer,딥엑스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=35f0a25dee5f3312
CRM 및 마케팅 데이터분석 담당자 - 국내 대기업 계열사,라피플코리아리미티드,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7fe0c284fbf4045f
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=649ccf047c868778
11번가 클라우드 엔지니어,십일번가,서울 중구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b2d23a1f7663c1a0
딥러닝 개발자 정규직,바이오에이아이,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5b2574aec8e1d083
